sim_id	distance	allele0	allele1
SimX	0.00462   	1	1.4
SimX	0.00462   	1	1.4
SimX	0.00464   	1	1.3
SimX	0.00464   	1	1.4
SimX	0.00464   	1	1.35
SimX	0.00464   	1	1.4
SimX	0.00464   	1	1.4
SimX	0.00466   	1	1.35
SimX	0.00466   	1	1.45
SimX	0.00466   	1	1.4
SimX	0.00466   	1	1.35
SimX	0.00466   	1	1.3
SimX	0.00466   	1	1.25
SimX	0.00468   	1	1.3
SimX	0.00468   	1	1.35
SimX	0.0047    	1	1.35
SimX	0.0047    	1	1.5
SimX	0.0047    	1	1.35
SimX	0.0047    	1	1.4
SimX	0.00471   	1	1.6
SimX	0.00472   	1	1.6
SimX	0.00472   	1	1.35
SimX	0.00472   	1	1.3
SimX	0.00472   	1	1.4
SimX	0.00472   	1	1.35
SimX	0.00472   	1	1.4
SimX	0.00472   	1	1.65
SimX	0.00474   	1	1.4
SimX	0.00474   	1	1.4
SimX	0.00474   	1	1.45
SimX	0.00474   	1	1.4
SimX	0.00474   	1	1.3
SimX	0.00474   	1	1.4
SimX	0.00474   	1	1.4
SimX	0.00474   	1	1.55
SimX	0.00474   	1	1.45
SimX	0.00476   	1	1.3
SimX	0.00476   	1	1.4
SimX	0.00476   	1	1.4
SimX	0.00476   	1	1.4
SimX	0.00476   	1	1.35
SimX	0.00476   	1	1.35
SimX	0.00476   	1	1.5
SimX	0.00476   	1	1.4
SimX	0.00476   	1	1.5
SimX	0.00478   	1	1.5
SimX	0.00478   	1	1.4
SimX	0.00478   	1	1.5
SimX	0.00478   	1	1.4
SimX	0.0048    	1	1.6
SimX	0.0048    	1	1.5
SimX	0.0048    	1	1.35
SimX	0.0048    	1	1.35
SimX	0.0048    	1	1.3
SimX	0.0048    	1	1.3
SimX	0.00482   	1	1.35
SimX	0.00482   	1	1.7
SimX	0.00482   	1	1.4
SimX	0.00482   	1	1.4
SimX	0.00484   	1	1.45
SimX	0.00484   	1	1.35
SimX	0.00484   	1	1.6
SimX	0.00484   	1	1.35
SimX	0.00484   	1	1.45
SimX	0.00484   	1	1.55
SimX	0.00484   	1	1.45
SimX	0.00486   	1	1.35
SimX	0.00486   	1	1.4
SimX	0.00486   	1	1.45
SimX	0.00488   	1	1.65
SimX	0.00488   	1	1.3
SimX	0.00488   	1	1.4
SimX	0.00488   	1	1.25
SimX	0.00488   	1	1.4
SimX	0.0049    	1	1.4
SimX	0.0049    	1	1.25
SimX	0.0049    	1	1.35
SimX	0.0049    	1	1.3
SimX	0.0049    	1	1.55
SimX	0.0049    	1	1.45
SimX	0.0049    	1	1.4
SimX	0.0049    	1	1.5
SimX	0.00492   	1	1.35
SimX	0.00492   	1	1.4
SimX	0.00492   	1	1.3
SimX	0.00492   	1	1.3
SimX	0.00492   	1	1.45
SimX	0.00494   	1	1.4
SimX	0.00494   	1	1.3
SimX	0.00494   	1	1.3
SimX	0.00494   	1	1.4
SimX	0.00494   	1	1.4
SimX	0.00495   	1	1.65
SimX	0.00496   	1	1.35
SimX	0.00496   	1	1.45
SimX	0.00496   	1	1.35
SimX	0.00496   	1	1.35
SimX	0.00498   	1	1.4
SimX	0.00498   	1	1.3
SimX	0.00498   	1	1.45
SimX	0.00498   	1	1.5
SimX	0.00498   	1	1.3
SimX	0.00498   	1	1.3
SimX	0.00498   	1	1.3
SimX	0.00498   	1	1.45
SimX	0.00498   	1	1.4
SimX	0.00498   	1	1.3
SimX	0.00498   	1	1.55
SimX	0.00498   	1	1.4
SimX	0.00498   	1	1.4
SimX	0.005     	1	1.25
SimX	0.005     	1	1.45
SimX	0.005     	1	1.25
SimX	0.005     	1	1.45
SimX	0.005     	1	1.3
SimX	0.00502   	1	1.3
SimX	0.00502   	1	1.4
SimX	0.00502   	1	1.5
SimX	0.00502   	1	1.45
SimX	0.00502   	1	1.4
SimX	0.00502   	1	1.35
SimX	0.00502   	1	1.35
SimX	0.00502   	1	1.5
SimX	0.00503   	1	1.35
SimX	0.00504   	1	1.7
SimX	0.00504   	1	1.35
SimX	0.00504   	1	1.4
SimX	0.00504   	1	1.4
SimX	0.00504   	1	1.45
SimX	0.00506   	1	1.35
SimX	0.00506   	1	1.3
SimX	0.00506   	1	1.35
SimX	0.00506   	1	1.3
SimX	0.00506   	1	1.4
SimX	0.00506   	1	1.3
SimX	0.00507   	1	1.6
SimX	0.00508   	1	1.35
SimX	0.00508   	1	1.35
SimX	0.00508   	1	1.3
SimX	0.00508   	1	1.85
SimX	0.00508   	1	1.35
SimX	0.00508   	1	1.4
SimX	0.00508   	1	1.4
SimX	0.00508   	1	1.95
SimX	0.0051    	1	1.3
SimX	0.0051    	1	1.4
SimX	0.0051    	1	1.5
SimX	0.0051    	1	1.25
SimX	0.0051    	1	1.3
SimX	0.0051    	1	1.35
SimX	0.0051    	1	1.35
SimX	0.0051    	1	1.3
SimX	0.0051    	1	1.35
SimX	0.0051    	1	1.8
SimX	0.00512   	1	1.4
SimX	0.00512   	1	1.35
SimX	0.00512   	1	1.4
SimX	0.00512   	1	1.4
SimX	0.00512   	1	1.4
SimX	0.00512   	1	1.35
SimX	0.00512   	1	1.5
SimX	0.00512   	1	1.45
SimX	0.00512   	1	1.55
SimX	0.00512   	1	1.55
SimX	0.00514   	1	1.2
SimX	0.00514   	1	1.25
SimX	0.00514   	1	1.3
SimX	0.00514   	1	1.3
SimX	0.00514   	1	1.25
SimX	0.00514   	1	1.25
SimX	0.00514   	1	1.4
SimX	0.00514   	1	1.35
SimX	0.00516   	1	1.3
SimX	0.00516   	1	1.35
SimX	0.00516   	1	1.3
SimX	0.00516   	1	1.35
SimX	0.00518   	1	1.3
SimX	0.00518   	1	1.3
SimX	0.00518   	1	1.3
SimX	0.00518   	1	1.35
SimX	0.0052    	1	1.35
SimX	0.0052    	1	1.45
SimX	0.0052    	1	1.4
SimX	0.0052    	1	1.3
SimX	0.0052    	1	1.3
SimX	0.0052    	1	1.35
SimX	0.0052    	1	1.45
SimX	0.0052    	1	1.55
SimX	0.00522   	1	1.3
SimX	0.00522   	1	1.3
SimX	0.00522   	1	1.35
SimX	0.00522   	1	1.3
SimX	0.00522   	1	1.3
SimX	0.00522   	1	1.45
SimX	0.00522   	1	1.45
SimX	0.00522   	1	1.45
SimX	0.00522   	1	1.4
SimX	0.00524   	1	1.3
SimX	0.00524   	1	1.35
SimX	0.00524   	1	1.3
SimX	0.00524   	1	1.3
SimX	0.00524   	1	1.4
SimX	0.00524   	1	1.3
SimX	0.00524   	1	1.55
SimX	0.00526   	1	1.45
SimX	0.00526   	1	1.4
SimX	0.00526   	1	1.3
SimX	0.00526   	1	1.3
SimX	0.00526   	1	1.3
SimX	0.00526   	1	1.35
SimX	0.00528   	1	1.45
SimX	0.00528   	1	1.3
SimX	0.00528   	1	1.35
SimX	0.00528   	1	1.3
SimX	0.00528   	1	1.3
SimX	0.00528   	1	1.45
SimX	0.00528   	1	1.3
SimX	0.00528   	1	1.3
SimX	0.00528   	1	1.45
SimX	0.00528   	1	1.25
SimX	0.00528   	1	1.4
SimX	0.00528   	1	1.35
SimX	0.00528   	1	1.25
SimX	0.00528   	1	1.6
SimX	0.0053    	1	1.45
SimX	0.0053    	1	1.55
SimX	0.0053    	1	1.3
SimX	0.0053    	1	1.35
SimX	0.0053    	1	1.4
SimX	0.0053    	1	1.4
SimX	0.00532   	1	1.6
SimX	0.00532   	1	1.4
SimX	0.00532   	1	1.3
SimX	0.00532   	1	1.3
SimX	0.00532   	1	1.35
SimX	0.00532   	1	1.45
SimX	0.00532   	1	1.55
SimX	0.00534   	1	1.45
SimX	0.00534   	1	1.4
SimX	0.00534   	1	1.45
SimX	0.00534   	1	1.3
SimX	0.00534   	1	1.35
SimX	0.00534   	1	1.4
SimX	0.00534   	1	1.45
SimX	0.00534   	1	1.3
SimX	0.00534   	1	1.4
SimX	0.00534   	1	1.35
SimX	0.00534   	1	1.35
